req,pos,labels
"The file contains the civil status of the candidate (surname, first name, address), a description of his professional activities for 5 years, the diploma requested.",DET NOUN VERB DET ADJ NOUN ADP DET NOUN PUNCT NOUN PUNCT ADJ NOUN PUNCT NOUN PUNCT PUNCT DET NOUN ADP PRON ADJ NOUN ADP NUM NOUN PUNCT DET NOUN VERB PUNCT,O O O O O O O O entity O attr O O O O attr O O O O O O O O O O O O O entity O O
The CAVA sends the file to the home of the Academy inspector responsible for the diploma concerned.,DET PROPN VERB DET NOUN ADP DET NOUN ADP DET PROPN NOUN ADJ ADP DET NOUN VERB PUNCT,O O O O O O O O O O O entity O O O entity O O
The inspector verifies whether the file is admissible.,DET NOUN NOUN SCONJ DET NOUN AUX ADJ PUNCT,O entity O O O O O O O
"That is to say, if the diploma requested corresponds to the professional activities of the candidate for at least 5 years.",PRON AUX PART VERB PUNCT SCONJ DET NOUN VERB NOUN ADP DET ADJ NOUN ADP DET NOUN ADP ADV ADV NUM NOUN PUNCT,O O O O O O O entity O O O O O O O O entity O O O O O O
"The inspector communicates his decision to the CAVA, which records it in its database.",DET NOUN VERB PRON NOUN ADP DET PROPN PUNCT PRON VERB PRON ADP PRON NOUN PUNCT,O entity O O O O O O O O O O O O O O
"If the file is admissible, an acknowledgment of receipt is sent to the candidate; otherwise the file is returned to the candidate with a letter indicating the reasons for the refusal of the file.

",SCONJ DET NOUN AUX ADJ PUNCT DET NOUN ADP NOUN AUX VERB ADP DET NOUN PUNCT ADV DET NOUN AUX VERB ADP DET NOUN ADP DET NOUN VERB DET NOUN ADP DET NOUN ADP DET NOUN PUNCT SPACE,O O O O O O O O O O O O O O entity O O O O O O O O entity O O O O O O O O O O O O O O
There is one jury per diploma.,PRON VERB NUM NOUN ADP NOUN PUNCT,O O O entity O entity O
A jury is made up of the Academy inspector responsible for the diploma and teachers.,DET NOUN AUX VERB ADP ADP DET PROPN NOUN ADJ ADP DET NOUN CCONJ NOUN PUNCT,O entity O O O O O O entity O O O entity O entity O
The CAVA knows the contact details of the teachers who are members of a jury.,DET PROPN VERB DET NOUN NOUN ADP DET NOUN PRON AUX NOUN ADP DET NOUN PUNCT,O O O O O O O O entity O O O O O entity O
"Each jury meets three times a year.

",DET NOUN VERB NUM NOUN DET NOUN PUNCT SPACE,O entity O O O O O O O
"The schedule of jury meetings is established by the Academy inspector responsible for the diploma concerned, at the start of the school year.",DET NOUN ADP NOUN NOUN AUX VERB ADP DET PROPN NOUN ADJ ADP DET NOUN VERB PUNCT ADP DET NOUN ADP DET NOUN NOUN PUNCT,O O O entity O O O O O O entity O O O entity O O O O O O O O O O
"Three weeks before a meeting of a jury, the CAVA summons the members of the jury as well as the candidates with a pending diploma application file (concerning the diploma under the responsibility of the jury).",NUM NOUN ADP DET NOUN ADP DET NOUN PUNCT DET PROPN VERB DET NOUN ADP DET NOUN ADV ADV ADP DET NOUN ADP DET VERB NOUN NOUN NOUN PUNCT VERB DET NOUN ADP DET NOUN ADP DET NOUN PUNCT PUNCT,O O O O O O O entity O O O O O O O O entity O O O O O O O O entity O O O O O entity O O O O O entity O O
"At the end of a meeting, the jury draws up minutes in which the decisions of the jury are summarized (acceptance or refusal of the diploma).",ADP DET NOUN ADP DET NOUN PUNCT DET NOUN VERB ADP NOUN ADP PRON DET NOUN ADP DET NOUN AUX VERB PUNCT NOUN CCONJ NOUN ADP DET NOUN PUNCT PUNCT,O O O O O O O O entity O O O O O O O O O entity O O O O O O O O entity O O
"Depending on this report, the CAVA sends a certificate of diploma to the candidates or a refusal of diploma.",VERB ADP DET NOUN PUNCT DET PROPN VERB DET NOUN ADP NOUN ADP DET NOUN CCONJ DET NOUN ADP NOUN PUNCT,O O O O O O O O O O O entity O O O O O O O entity O
"each type of product has a unique code (barcode label), and the same price for all products of this type.",DET NOUN ADP NOUN VERB DET ADJ NOUN PUNCT PROPN NOUN PUNCT PUNCT CCONJ DET ADJ NOUN ADP DET NOUN ADP DET NOUN PUNCT,O O O entity O O O O O attr O O O O O O attr O O entity O O O O
"each type of product is referenced in a catalog, with its associated price.",DET NOUN ADP NOUN AUX VERB ADP DET NOUN PUNCT ADP PRON VERB NOUN PUNCT,O O O entity O O O O O O O O O attr O
"When the price of a product must be modified, the manager modifies its price in the catalog, then on the floor where it is stored.
",SCONJ DET NOUN ADP DET NOUN AUX AUX VERB PUNCT DET NOUN VERB PRON NOUN ADP DET NOUN PUNCT ADV ADP DET NOUN SCONJ PRON AUX VERB PUNCT SPACE,O O attr O O entity O O O O O entity O O attr O O O O O O O O O O O O O O
"The cashier identifies himself to start the cash register (with a password).
",DET NOUN VERB PRON PART VERB DET NOUN NOUN PUNCT ADP DET NOUN PUNCT PUNCT SPACE,O entity O O O relationship O O O O O O O O O O
"the cash register will carry out the usual functions of a cash register: subtotal calculation, total calculation, possibility of entering several items with the same code, return of goods with the receipt.",DET NOUN NOUN AUX VERB ADP DET ADJ NOUN ADP DET NOUN NOUN PUNCT ADJ NOUN PUNCT ADJ NOUN PUNCT NOUN ADP VERB ADJ NOUN ADP DET ADJ NOUN PUNCT NOUN ADP NOUN ADP DET NOUN PUNCT,O O O O O O O O O O O O O O attr O O entity O O O O O O O O O O O O O O O O O entity O
"The cash register allows you to edit reports:
· the receipt which will be given only for an effective sale .",DET NOUN NOUN VERB PRON PART VERB NOUN PUNCT SPACE PUNCT DET NOUN PRON AUX AUX VERB ADV ADP DET ADJ NOUN PUNCT,O O O O O O O O O O O O entity O O O O O O O O entity O
"it contains the store name, a welcome message, the date and time.",PRON VERB DET NOUN NOUN PUNCT DET ADJ NOUN PUNCT DET NOUN CCONJ NOUN PUNCT,O O O O O O O O O O O attr O attr O
"Then for each sale it gives the product code, product description, unit price, quantity and subtotal.",ADV ADP DET NOUN PRON VERB DET NOUN NOUN PUNCT NOUN NOUN PUNCT NOUN NOUN PUNCT NOUN CCONJ NOUN PUNCT,O O O entity O O O entity O O entity O O O attr O attr O attr O
"Finally we find the total including VAT
· The detailed daily report: list of the detailed set of sales for the day.",ADV PRON VERB DET NOUN VERB NOUN SPACE PUNCT DET ADJ ADJ NOUN PUNCT NOUN ADP DET ADJ NOUN ADP NOUN ADP DET NOUN PUNCT,O O O O entity O entity O O O O O O O O O O O O O O O O O O
You are asked to create a database to store cooking recipes and also to manage the stocks of ingredients you have.,PRON AUX VERB PART VERB DET NOUN PART VERB NOUN NOUN CCONJ ADV PART VERB DET NOUN ADP NOUN PRON VERB PUNCT,O O O O O O O O O O entity O O O O O O relationship entity O relationship O
"Each recipe has a name, a description, the preparation and cooking time, the number of calories per person, the number of parts and the level of difficulty: difficult, medium or easy.",DET NOUN VERB DET NOUN PUNCT DET NOUN PUNCT DET NOUN CCONJ NOUN NOUN PUNCT DET NOUN ADP NOUN ADP NOUN PUNCT DET NOUN ADP NOUN CCONJ DET NOUN ADP NOUN PUNCT ADJ PUNCT NOUN CCONJ ADJ PUNCT,O entity relationship O attr O O attr O O attr O O O O O O relationship O O O O O O relationship O O O O relationship attr O O O O O O O
For each recipe you want to know what ingredients are needed and the quantity associated with each ingredient.,ADP DET NOUN PRON VERB PART VERB PRON NOUN AUX VERB CCONJ DET NOUN VERB ADP DET NOUN PUNCT,O O entity O O O O O entity O O O O attr O O O entity O
For each ingredient you have its name and the number of calories per 100 grams of that ingredient.,ADP DET NOUN PRON VERB PRON NOUN CCONJ DET NOUN ADP NOUN ADP NUM NOUN ADP DET NOUN PUNCT,O O entity O relationship O attr O O O relationship O O O O relationship O entity O
"Each ingredient has a type, for example starch for the ingredient potato.",DET NOUN VERB DET NOUN PUNCT ADP NOUN NOUN ADP DET ADJ NOUN PUNCT,O entity relationship O entity O O O O O O entity O O
"The same ingredient can have several packaging, for example, the ingredient flour can be stored as a 1 kg or 500 g package.",DET ADJ NOUN AUX VERB ADJ NOUN PUNCT ADP NOUN PUNCT DET ADJ NOUN AUX AUX VERB ADP DET NUM NOUN CCONJ NUM NOUN NOUN PUNCT,O O entity O relationship O entity O O O O O entity O O O relationship O O O O O O O O O
These two packages will be considered as different products.,DET NUM NOUN AUX AUX VERB ADP ADJ NOUN PUNCT,O O entity O O O O O entity O
"To manage the stocks of ingredients, the storage location of the products in the housing is memorized.",PART VERB DET NOUN ADP NOUN PUNCT DET NOUN NOUN ADP DET NOUN ADP DET NOUN AUX VERB PUNCT,O O O O relationship entity O O entity O relationship O entity O O O O O O
Each storage is named and for each storage you know which products are stored there.,DET NOUN AUX VERB CCONJ ADP DET NOUN PRON VERB DET NOUN AUX VERB ADV PUNCT,O entity O attr O O O entity O O O entity O relationship O O
The same ingredient can be stored in several racks.,DET ADJ NOUN AUX AUX VERB ADP ADJ NOUN PUNCT,O O entity O O relationship O O attr O
"A bank system contains data on customers 
(identified by name and address) and 
their accounts.
",DET NOUN NOUN VERB NOUN ADP NOUN SPACE PUNCT VERB ADP NOUN CCONJ NOUN PUNCT CCONJ SPACE PRON NOUN PUNCT SPACE,O O O O O O entity O O O O attr O attr O O O O entity O O
"Each account has a balance and there are 2 
type of accounts: one for savings which 
offers an interest rate, the other for 
investments, used to buy stocks.
",DET NOUN VERB DET NOUN CCONJ PRON VERB NUM SPACE NOUN ADP NOUN PUNCT NUM ADP NOUN PRON SPACE VERB DET NOUN NOUN PUNCT DET ADJ ADP SPACE NOUN PUNCT VERB PART VERB NOUN PUNCT SPACE,O entity O O attr O O O O O O O entity O O O entity O O O O O O O O O O O entity O O O O entity O O
"Stocks are bought at a certain quantity for 
a certain price (ticker) and the bank 
applies commission on stock orders.",NOUN AUX VERB ADP DET ADJ NOUN ADP SPACE DET ADJ NOUN PUNCT NOUN PUNCT CCONJ DET NOUN SPACE VERB NOUN ADP NOUN NOUN PUNCT,entity O O O O O attr O O O O O O attr O O O O O relationship attr O O O O
Consider an information system that concerns the monitoring of the personnel of a set of local agencies.,VERB DET NOUN NOUN PRON VERB DET NOUN ADP DET NOUN ADP DET NOUN ADP ADJ NOUN PUNCT,O O O O O O O O O O entity O O O O O entity O
"Each agency is located in a region, each region is managed by a regional management.",DET NOUN AUX VERB ADP DET NOUN PUNCT DET NOUN AUX VERB ADP DET ADJ NOUN PUNCT,O entity O O O O entity O O entity O O O O entity O O
"The regional management is in charge of a set of local agencies.
",DET ADJ NOUN AUX ADP NOUN ADP DET NOUN ADP ADJ NOUN PUNCT SPACE,O entity O O O O O O O O O entity O O
a regional directorate is characterized by a code and a wording.,DET ADJ NOUN AUX VERB ADP DET NOUN CCONJ DET NOUN PUNCT,O entity O O O O O attr O O attr O
"We want to model a system for management of flights and pilots.
",PRON VERB PART VERB DET NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT SPACE,O O O O O O O O O entity O entity O O
An airline operates flights.,DET NOUN VERB NOUN PUNCT,O entity relationship entity O
"Each airline has an ID.
",DET NOUN VERB DET PROPN PUNCT SPACE,O entity relationship O attr O O
"Each flight has an ID a departure airport and an arrival airport: an 
airport as a unique identifier.
",DET NOUN VERB DET PROPN DET NOUN NOUN CCONJ DET NOUN NOUN PUNCT DET SPACE NOUN ADP DET ADJ NOUN PUNCT SPACE,O entity relationship O attr O O entity O O O entity O O O entity O O O attr O O
"Each flight has a pilot and a co-pilot, and it uses an aircraft of a 
certain type; a flight has also a departure time and an arrival time. 
",DET NOUN VERB DET NOUN CCONJ DET NOUN NOUN NOUN PUNCT CCONJ PRON VERB DET NOUN ADP DET SPACE ADJ NOUN PUNCT DET NOUN VERB ADV DET NOUN NOUN CCONJ DET NOUN NOUN PUNCT SPACE,O entity relationship O entity O O O O entity O O O relationship O entity O O O O O O O entity relationship O O O O O O O O O O
"An airline owns a set of aircrafts of different types. 
",DET NOUN VERB DET NOUN ADP NOUN ADP ADJ NOUN PUNCT SPACE,O entity relationship O O O entity O O O O O
"An aircraft can be in a working state or it can be under repair. 
",DET NOUN AUX AUX ADP DET VERB NOUN CCONJ PRON AUX AUX ADP NOUN PUNCT SPACE,O entity O O O O O O O O O O O attr O O
"In a particular moment an aircraft can be landed or airborne. 
",ADP DET ADJ NOUN DET NOUN AUX AUX VERB CCONJ ADJ PUNCT SPACE,O O O O O entity O O attr O O O O
"A company has a set of pilots: each pilot has an experience level:
1 is minimum, 3 is maximum.
",DET NOUN VERB DET NOUN ADP NOUN PUNCT DET NOUN VERB DET NOUN NOUN PUNCT SPACE NUM AUX ADJ PUNCT NUM AUX ADJ PUNCT SPACE,O O relationship O O O entity O O entity relationship O O O O O O O O O O O O O O
"A type of aeroplane may need a particular number of pilots, with a 
different role (e.g.: captain, co-pilot, navigator): there must be at least 
one captain and one co-pilot, and a captain must have a level 3.",DET NOUN ADP NOUN AUX VERB DET ADJ NOUN ADP NOUN PUNCT ADP DET SPACE ADJ NOUN PUNCT ADV PUNCT NOUN PUNCT NOUN NOUN ADJ PUNCT NOUN PUNCT PRON AUX AUX ADP ADJ SPACE NUM NOUN CCONJ NUM NOUN NOUN NOUN PUNCT CCONJ DET NOUN AUX VERB DET NOUN NUM PUNCT,O O O O O O O O O O entity O O O O O O O O O O O O O entity O O O O O O O O O O O O O O O entity O O O O O O O O O O
A hotel is composed of at least two rooms.,DET NOUN AUX VERB ADP ADV ADV NUM NOUN PUNCT,O entity O O O O O O entity O
Each room has a bathroom: shower or bath.,DET NOUN VERB DET NOUN PUNCT NOUN CCONJ NOUN PUNCT,O entity relationship O entity O entity O entity O
A hotel accommodates people.,DET NOUN VERB NOUN PUNCT,O entity O entity O
It can employ staff and it must be managed by a manager.,PRON AUX VERB NOUN CCONJ PRON AUX AUX VERB ADP DET NOUN PUNCT,O O relationship entity O O O O O O O entity O
"Only the first and last names of the employees, managers and occupants are known.",ADV DET ADJ CCONJ ADJ NOUN ADP DET NOUN PUNCT NOUN CCONJ NOUN AUX VERB PUNCT,O O attr O O O O O entity O entity O entity O O O
Some people are children and others are adults (it is forbidden to employ children).,DET NOUN AUX NOUN CCONJ NOUN AUX NOUN PUNCT PRON AUX VERB PART VERB NOUN PUNCT PUNCT,O entity O O O O O O O O O O O relationship O O O
"A hotel has the following characteristics: an address, a number of rooms and a category.",DET NOUN VERB DET ADJ NOUN PUNCT DET NOUN PUNCT DET NOUN ADP NOUN CCONJ DET NOUN PUNCT,O entity relationship O O O O O attr O O attr O entity O O attr O
"A room is characterized by the number and beds it contains, its price and its number.",DET NOUN AUX VERB ADP DET NOUN CCONJ NOUN PRON VERB PUNCT PRON NOUN CCONJ PRON NOUN PUNCT,O entity O O O O attr O attr O O O O attr O O attr O
We want to know who occupies which room on which date.,PRON VERB PART VERB PRON VERB DET NOUN ADP DET NOUN PUNCT,O O O O O O O entity O O O O
"For each day of the year, we want to be able to calculate the rent of each room according to its price and its occupation (the rent is null if the room is unoccupied).",ADP DET NOUN ADP DET NOUN PUNCT PRON VERB PART AUX ADJ PART VERB DET NOUN ADP DET NOUN VERB ADP PRON NOUN CCONJ PRON NOUN PUNCT DET NOUN AUX ADJ SCONJ DET NOUN AUX ADJ PUNCT PUNCT,O O O O O O O O O O O O O O O O O O entity O O O attr O O O O O O O O O O entity O O O O
The sum of these rents allows to calculate the turnover of the hotel between two dates.,DET NOUN ADP DET NOUN VERB PART VERB DET NOUN ADP DET NOUN ADP NUM NOUN PUNCT,O O O O O O O O O O O O entity O O O O
A company has several warehouses located in different cities.,DET NOUN VERB ADJ NOUN VERB ADP ADJ NOUN PUNCT,O entity relationship O entity O O O entity O
"In each of the warehouses is stored merchandise, the different products it needs for its activity.",ADP PRON ADP DET NOUN AUX VERB NOUN PUNCT DET ADJ NOUN PRON VERB ADP PRON NOUN PUNCT,O O O O entity O relationship entity O O O entity O O O relationship O O
Two different warehouses can have the same products.,NUM ADJ NOUN AUX VERB DET ADJ NOUN PUNCT,O O entity O O O O entity O
"For each product we also want to know its supplier (name, address), its name, whether it is toxic or not and what volume it occupies.",ADP DET NOUN PRON ADV VERB PART VERB PRON NOUN PUNCT NOUN PUNCT NOUN PUNCT PUNCT PRON NOUN PUNCT SCONJ PRON AUX ADJ CCONJ PART CCONJ PRON NOUN PRON VERB PUNCT,O O entity O O O O O relationship entity O attr O attr O O relationship attr O O O O attr O O O O attr O O O
For each warehouse we want to know its surface and its address.,ADP DET NOUN PRON VERB PART VERB PRON NOUN CCONJ PRON NOUN PUNCT,O O entity O O O O relationship attr O relationship attr O
"Airlines offer different flights
A flight is open for booking and closed by order of the company
A customer can book one or more flights, for different passengers
A reservation concerns a single flight and a single passenger
A reservation can be confirmed or canceled
A flight has a departure airport and an arrival airport
A flight has a day and time of departure, and a day and time of arrival
A flight may include stopovers in one or more airport(s)
",PROPN VERB ADJ NOUN SPACE DET NOUN AUX ADJ ADP NOUN CCONJ VERB ADP NOUN ADP DET NOUN SPACE DET NOUN AUX VERB NUM CCONJ ADJ NOUN PUNCT ADP ADJ NOUN SPACE DET NOUN VERB DET ADJ NOUN CCONJ DET ADJ NOUN SPACE DET NOUN AUX AUX VERB CCONJ VERB SPACE DET NOUN VERB DET NOUN NOUN CCONJ DET NOUN NOUN SPACE DET NOUN VERB DET NOUN CCONJ NOUN ADP NOUN PUNCT CCONJ DET NOUN CCONJ NOUN ADP NOUN SPACE DET NOUN AUX VERB NOUN ADP NUM CCONJ ADJ NOUN PUNCT SPACE,entity relationship O entity O O entity O O O entity O O O O O O O O O entity O relationship O O O entity O O O entity O O entity relationship O O entity O O O entity O O entity O O O O O O O entity relationship O O entity O O O entity O O entity relationship O O O O O O O O O O O O O O O O entity O relationship entity O O O O O O O
"A stopover has a departure time and an arrival time
Each airport serves one or more cities",DET NOUN VERB DET NOUN NOUN CCONJ DET NOUN NOUN SPACE DET NOUN VERB NUM CCONJ ADJ NOUN,O entity relationship O O O O O O O O O entity relationship O O O entity
"The popular bank in Morocco contains several agencies, it is characterized by its name (popular bank) and directed by a director, has a capital and an address.",DET ADJ NOUN ADP PROPN VERB ADJ NOUN PUNCT PRON AUX VERB ADP PRON NOUN PUNCT ADJ NOUN PUNCT CCONJ VERB ADP DET NOUN PUNCT VERB DET NOUN CCONJ DET NOUN PUNCT,O O entity relationship O relationship O entity O O O O O O attr O O entity O O O O O entity O relationship O attr O O attr O
"THE director of the bank has a name, first name, age and salary (or income).",DET NOUN ADP DET NOUN VERB DET NOUN PUNCT ADJ NOUN PUNCT NOUN CCONJ NOUN PUNCT CCONJ NOUN PUNCT PUNCT,O entity O O entity relationship O attr O O attr O attr O attr O O O O O
"Each agency has an address, employees and an identifier.",DET NOUN VERB DET NOUN PUNCT NOUN CCONJ DET NOUN PUNCT,O entity relationship O attr O entity O O attr O
"Each employee also has a surname, first name and date of hire.",DET NOUN ADV VERB DET NOUN PUNCT ADJ NOUN CCONJ NOUN ADP NOUN PUNCT,O entity O relationship O attr O O attr O O O O O
"An employee only works in one agency, but can request a transfer to another agency.",DET NOUN ADV VERB ADP NUM NOUN PUNCT CCONJ AUX VERB DET NOUN ADP DET NOUN PUNCT,O entity O relationship relationship O entity O O O O O O O O entity O
"An employee can manage one or more customers, the latter has a single account in a given agency, a name, first name and an address.",DET NOUN AUX VERB NUM CCONJ ADJ NOUN PUNCT DET ADJ VERB DET ADJ NOUN ADP DET VERB NOUN PUNCT DET NOUN PUNCT ADJ NOUN CCONJ DET NOUN PUNCT,O entity O relationship O O O entity O O O relationship O O entity relationship O O entity O O attr O O attr O O attr O
"Each registered customer is assigned to an employee in the agency.
",DET VERB NOUN AUX VERB ADP DET NOUN ADP DET NOUN PUNCT SPACE,O O entity O relationship O O entity relationship O entity O O
An account can either be a paid or unpaid account.,DET NOUN AUX CCONJ AUX DET ADJ CCONJ ADJ NOUN PUNCT,O entity O O O O O O O entity O
Model a LAN in which we find two kinds of printers: ASCII printers can only print ASCII documents.,PROPN DET PROPN ADP PRON PRON VERB NUM NOUN ADP NOUN PUNCT ADJ NOUN AUX ADV VERB NOUN NOUN PUNCT,O O O O O O O O O O entity O O entity O O relationship O entity O
PostScript printers can print either ASCII or Postscript documents.,PROPN NOUN AUX VERB CCONJ ADJ CCONJ PROPN NOUN PUNCT,O entity O relationship O O O O entity O
The documents are sent around as content of packets.,DET NOUN AUX VERB ADP ADP NOUN ADP NOUN PUNCT,O entity O O O O O O entity O
"For each admitted animal, its name, breed (if any) and owner must be stored.",ADP DET VERB NOUN PUNCT PRON NOUN PUNCT NOUN PUNCT SCONJ PRON PUNCT CCONJ NOUN AUX AUX VERB PUNCT,O O O entity O relationship attr O entity O O O O O entity O O O O
Each animal should be given an unique numeric identifier.,DET NOUN AUX AUX VERB DET ADJ ADJ NOUN PUNCT,O entity O O O O O O attr O
"For each owner, its name, address and phone number should be stored.",ADP DET NOUN PUNCT PRON NOUN PUNCT NOUN CCONJ NOUN NOUN AUX AUX VERB PUNCT,O O entity O relationship attr O attr O O O O O O O
An unique numeric identifier should also be generated for each one of them.,DET ADJ ADJ NOUN AUX ADV AUX VERB ADP DET NUM ADP PRON PUNCT,O O O attr O O O O O O O O O O
An animal might be owner-less.,DET NOUN AUX AUX NOUN PUNCT ADJ PUNCT,O entity O O entity O O O
This happens frequently as the clinic often rescues abandoned dogs from the streets in order to treat them and get them new owners.,PRON VERB ADV SCONJ DET NOUN ADV VERB VERB NOUN ADP DET NOUN ADP NOUN PART VERB PRON CCONJ VERB PRON ADJ NOUN PUNCT,O O O O O O O O O O O O O O O O O O O O O O entity O
It should be possible to store information about a specific breed even if no animals of that breed have been treated at the clinic.,PRON AUX AUX ADJ PART VERB NOUN ADP DET ADJ NOUN ADV SCONJ DET NOUN ADP DET NOUN AUX AUX VERB ADP DET NOUN PUNCT,O O O O O O O O O O entity O O O entity O O entity O O O O O O O
Each appointement always has a responsible physician.,DET NOUN ADV VERB DET ADJ NOUN PUNCT,O entity O relationship O O entity O
All appointements start at a certain date and time; and are attended by an animal (and of course its owner).,DET NOUN VERB ADP DET ADJ NOUN CCONJ NOUN PUNCT CCONJ AUX VERB ADP DET NOUN PUNCT CCONJ ADP NOUN PRON NOUN PUNCT PUNCT,O entity O O O O attr O attr O O O O O O entity O O O O relationship entity O O
"For each physician, his name, address and phone number should be stored.",ADP DET NOUN PUNCT PRON NOUN PUNCT NOUN CCONJ NOUN NOUN AUX AUX VERB PUNCT,O O entity O O attr O attr O O O O O O O
An unique numeric identifier should also be generated for each one of them.,DET ADJ ADJ NOUN AUX ADV AUX VERB ADP DET NUM ADP PRON PUNCT,O O O attr O O O O O O O O O O
"In an appointement, several medical conditions might be detected.",ADP DET NOUN PUNCT ADJ ADJ NOUN AUX AUX VERB PUNCT,O O entity O O O entity O O relationship O
Each condition has a common name and a scientific name.,DET NOUN VERB DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT,O entity relationship O O attr O O O attr O
No two conditions have the same scientific name.,DET NUM NOUN VERB DET ADJ ADJ NOUN PUNCT,O O entity O O O O attr O
It should be possible to store information about the most common conditions for each different breed in the database.,PRON AUX AUX ADJ PART VERB NOUN ADP DET ADV ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN PUNCT,O O O O O O O O O O O entity O O O entity O O O O
Let the following sentences apply: A directory contains files.,VERB DET VERB NOUN VERB PUNCT DET NOUN VERB NOUN PUNCT,O O O O O O O entity relationship entity O
A room contains walls.,DET NOUN VERB NOUN PUNCT,O entity relationship entity O
Modems and keyboards are input/output devices.,PROPN CCONJ NOUN AUX NOUN SYM NOUN NOUN PUNCT,entity O entity O O O O entity O
A stock exchange transaction is a purchase or a sale.,DET NOUN NOUN NOUN AUX DET NOUN CCONJ DET NOUN PUNCT,O O O O O O entity O O entity O
A bank account can belong to a natural or legal person,DET NOUN NOUN AUX VERB ADP DET ADJ CCONJ ADJ NOUN,O O O O O O O O O O entity
"Each hotel contains a number of rooms, each room is rented by a fixed price.",DET NOUN VERB DET NOUN ADP NOUN PUNCT DET NOUN AUX VERB ADP DET VERB NOUN PUNCT,O entity relationship O O O entity O O entity O O O O O attr O
"The manager of the hotel manages the rental of the rooms.
",DET NOUN ADP DET NOUN VERB DET NOUN ADP DET NOUN PUNCT SPACE,O entity O O entity relationship O O O O entity O O
Access to the bathrooms is free since it is included in the price of the rooms.,NOUN ADP DET NOUN AUX ADJ SCONJ PRON AUX VERB ADP DET NOUN ADP DET NOUN PUNCT,O O O entity O O O O O O O O attr O O entity O
Some rooms do not have a bathroom.,DET NOUN AUX PART VERB DET NOUN PUNCT,O entity O O O O entity O
"The other rooms, such as kitchen, reception hall, are not part of the study.",DET ADJ NOUN PUNCT ADJ ADP NOUN PUNCT NOUN NOUN PUNCT AUX PART NOUN ADP DET NOUN PUNCT,O O entity O O O O O O O O O O O O O O O
People can rent one or more rooms in the hotel.,NOUN AUX VERB NUM CCONJ ADJ NOUN ADP DET NOUN PUNCT,entity O relationship O O O entity O O entity O
"In other words: the hotel accommodates a certain number of people.
",ADP ADJ NOUN PUNCT DET NOUN VERB DET ADJ NOUN ADP NOUN PUNCT SPACE,O O O O O entity relationship O O O O entity O O
"The reservation of a room is made by a customer, the manager looks for a free room, if there is the manager gives the price of the room to the customer who becomes the tenant of the room after having paid.",DET NOUN ADP DET NOUN AUX VERB ADP DET NOUN PUNCT DET NOUN VERB ADP DET ADJ NOUN PUNCT SCONJ PRON VERB DET NOUN VERB DET NOUN ADP DET NOUN ADP DET NOUN PRON VERB DET NOUN ADP DET NOUN ADP AUX VERB PUNCT,O relationship O O entity O O O O entity O O entity O O O O entity O O O O O entity O O attr O O entity O O entity O O O O O O entity O O O O
"Otherwise, the customer leaves.",ADV PUNCT DET NOUN VERB PUNCT,O O O entity O O
"Every day, the mailman delivers registered mail in a geographical area assigned to him.",DET NOUN PUNCT DET NOUN VERB ADJ NOUN ADP DET ADJ NOUN VERB ADP PRON PUNCT,O O O O entity relationship O entity O O O O relationship O O O
The inhabitants are also associated with a geographical area.,DET NOUN AUX ADV VERB ADP DET ADJ NOUN PUNCT,O entity O O relationship O O O O O
There are two types of registered mail: letters and parcels.,PRON VERB NUM NOUN ADP VERB NOUN PUNCT NOUN CCONJ NOUN PUNCT,O O O O O O entity O entity O entity O
"As several letter carriers can intervene in the same area, we want, for each registered letter, the letter carrier who delivered it, in addition to the addressee.",SCONJ ADJ NOUN NOUN AUX VERB ADP DET ADJ NOUN PUNCT PRON VERB PUNCT ADP DET VERB NOUN PUNCT DET NOUN NOUN PRON VERB PRON PUNCT ADP NOUN ADP DET NOUN PUNCT,O O entity O O O O O O O O O O O O O O entity O O entity O O O O O O O O O O O
"Each ingredient has a name, a measuring unit (e.g. olive oil is measured in liters, while eggs are unit based) and a quantity in stock.",DET NOUN VERB DET NOUN PUNCT DET VERB NOUN PUNCT ADV NOUN NOUN AUX VERB ADP NOUN PUNCT SCONJ NOUN AUX NOUN VERB PUNCT CCONJ DET NOUN ADP NOUN PUNCT,O entity O O attr O O O O O O O O O O O O O O O O O O O O O attr O O O
"There are no two ingredients with the same name.
",PRON VERB DET NUM NOUN ADP DET ADJ NOUN PUNCT SPACE,O O O O entity O O O attr O O
Each dish is composed of several ingredients in a certain quantity.,DET NOUN AUX VERB ADP ADJ NOUN ADP DET ADJ NOUN PUNCT,O entity O relationship O O entity O O O attr O
"An ingredient can, of course, be used in different dishes.",DET NOUN AUX PUNCT ADP NOUN PUNCT AUX VERB ADP ADJ NOUN PUNCT,O entity O O O O O O relationship O O entity O
A dish has an unique name and a numeric identifier.,DET NOUN VERB DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT,O entity O O O attr O O O attr O
There are several tables at the restaurant.,PRON VERB ADJ NOUN ADP DET NOUN PUNCT,O O O entity O O O O
Each one of them has an unique numeric identifier and a maximum ammount of people that can be seated there.,DET NOUN ADP PRON VERB DET ADJ ADJ NOUN CCONJ DET ADJ NOUN ADP NOUN PRON AUX AUX VERB ADV PUNCT,O O O O O O O O attr O O O O O attr O O O O O O
